epoch,avg_loss,time,avg_true_positives,avg_false_positives,avg_false_negatives
0,0.4335837984085083,113.16049909591675,0.0,8.42967032967033,2.0
1,0.3697618389129639,117.76587295532227,0.0,8.42967032967033,2.0
2,0.35899911403656004,105.09057307243347,0.0,8.42967032967033,2.0
3,0.35860949516296386,106.62899589538574,0.0,8.42967032967033,2.0
4,0.3583533811569214,106.5049638748169,0.0,8.42967032967033,2.0
5,0.35801350116729735,107.73265194892883,0.0,8.42967032967033,2.0
6,0.3582544565200806,106.67547011375427,0.0,8.42967032967033,2.0
7,0.3585819435119629,105.01414394378662,0.0,8.42967032967033,2.0
8,0.3587420082092285,165.6494812965393,0.0,8.42967032967033,2.0
9,0.35863418102264405,109.51195907592773,0.0,8.42967032967033,2.0
10,0.35837687969207765,108.39600205421448,0.0,8.42967032967033,2.0
11,0.3583954334259033,108.53148818016052,0.0,8.42967032967033,2.0
12,0.35832035541534424,107.55550789833069,0.0,8.42967032967033,2.0
13,0.35805501937866213,107.38028120994568,0.0,8.42967032967033,2.0
14,0.3584898900985718,109.57771801948547,0.0,8.42967032967033,2.0
15,0.3586443614959717,108.7988669872284,0.0,8.42967032967033,2.0
16,0.35822720527648927,110.04982209205627,0.0,8.42967032967033,2.0
17,0.35853932857513426,110.17588305473328,0.0,8.42967032967033,2.0
18,0.35877655029296873,110.1874361038208,0.0,8.42967032967033,2.0
19,0.35883684635162355,108.01408100128174,0.0,8.42967032967033,2.0
20,0.35845753669738767,110.70015931129456,0.0,8.42967032967033,2.0
21,0.3584738302230835,110.28607988357544,0.0,8.42967032967033,2.0
22,0.35818918228149416,109.53320813179016,0.0,8.42967032967033,2.0
23,0.3587344646453857,109.16016721725464,0.0,8.42967032967033,2.0
24,0.358147406578064,109.97421908378601,0.0,8.42967032967033,2.0
25,0.35807514667510987,110.50448298454285,0.0,8.42967032967033,2.0
26,0.35866049766540525,110.84952688217163,0.0,8.42967032967033,2.0
27,0.35887070655822756,110.75519800186157,0.0,8.42967032967033,2.0
28,0.3585031890869141,109.44659471511841,0.0,8.42967032967033,2.0
29,0.3588014221191406,112.57649207115173,0.0,8.42967032967033,2.0
30,0.3585244417190552,117.88870191574097,0.0,8.42967032967033,2.0
31,0.35800442218780515,117.41256499290466,0.0,8.42967032967033,2.0
32,0.3586413812637329,111.73658299446106,0.0,8.42967032967033,2.0
33,0.3581421947479248,111.62883996963501,0.0,8.42967032967033,2.0
34,0.3583364915847778,111.08661890029907,0.0,8.42967032967033,2.0
35,0.3580646085739136,110.23792386054993,0.0,8.42967032967033,2.0
36,0.35838439464569094,108.85821580886841,0.0,8.42967032967033,2.0
37,0.3582340908050537,112.12681198120117,0.0,8.42967032967033,2.0
38,0.3587444639205933,110.77354717254639,0.0,8.42967032967033,2.0
39,0.35808587074279785,110.1704728603363,0.0,8.42967032967033,2.0
40,0.35861514568328856,111.25338792800903,0.0,8.42967032967033,2.0
41,0.35889545440673826,111.14353489875793,0.0,8.42967032967033,2.0
42,0.3582621192932129,112.60626888275146,0.0,8.42967032967033,2.0
43,0.3581888723373413,110.19962215423584,0.0,8.42967032967033,2.0
44,0.358532133102417,110.61633086204529,0.0,8.42967032967033,2.0
45,0.3589658546447754,110.98311281204224,0.0,8.42967032967033,2.0
46,0.3579153251647949,115.77658605575562,0.0,8.42967032967033,2.0
47,0.358063907623291,114.37408208847046,0.0,8.42967032967033,2.0
48,0.35859826564788816,111.52485704421997,0.0,8.42967032967033,2.0
49,0.35819450855255125,112.59129095077515,0.0,8.42967032967033,2.0
